CO_EXPEDIENTE,NU_PROCESSO,NU_ACAO,NU_GRUPO_ASSUNTO,NU_ASSUNTO
07.000.00289/2018,00256799620175240071,9,75,"[20, 50, 63, 508, 531]"
07.000.00290/2018,00258445920175240002,54,58,"[63, 531, 929]"
07.000.00297/2017,00259851520165240002,54,62,"[20, 24, 531]"
07.000.00298/2017,00259237220165240002,54,50,"[63, 340, 531, 586, 929]"
07.000.00303/2017,00251614420165240006,54,54,"[63, 340, 527, 531, 621, 705, 709]"
07.000.00345/2017,00254983920165240004,54,61,"[20, 24, 716]"
07.000.00346/2017,00242145920175240004,9,998,"[121, 524, 531]"
07.000.00356/2018,00240648720185240022,54,54,"[20, 409, 527, 531, 621]"
07.000.00357/2018,00258272620175240001,54,60,"[57, 63, 64, 531]"
07.000.00371/2018,00240537520185240081,54,48,"[176, 531, 540]"
07.000.00385/2018,00256807820175240072,54,75,"[63, 508, 531]"
07.000.00389/2018,00256850320175240072,54,75,"[63, 508, 531]"
07.000.00390/2018,00256868520175240072,54,75,"[63, 508, 531]"
07.000.00392/2018,00257107220175240021,9,58,"[63, 506, 524, 531, 716, 929]"
07.000.00397/2017,00255897520165240022,54,47,"[138, 176, 531]"
07.000.00405/2017,00241920420175240003,54,50,"[63, 586, 621]"
07.000.00422/2017,00248393020165240004,54,47,"[50, 138, 176, 531]"
07.000.00470/2017,00256049520165240005,54,75,"[63, 340, 508, 531]"
07.000.00506/2018,00253759520175240007,54,47,"[176, 531, 572]"
07.000.00507/2018,00252183720175240003,54,47,"[138, 176, 531]"
07.000.00508/2018,00252288120175240003,54,47,"[50, 138, 176, 531]"
07.000.00512/2018,00256419420175240003,54,62,"[414, 507, 531]"
07.000.00514/2018,00258523320175240003,54,64,"[63, 409, 531]"
07.000.00523/2017,00240802320175240007,54,58,"[20, 506, 531, 535]"
07.000.00524/2017,00240863020175240007,54,75,"[63, 508, 531]"
07.000.00530/2018,00256184820175240004,54,50,"[20, 531, 586]"
07.000.00541/2017,00242969020175240004,54,47,"[138, 176]"
07.000.00576/2017,00000001902017240005,34,51,"[436, 535]"
07.000.00577/2017,00255632820155240006,9,998,[87]
07.000.00585/2018,00244437520185240071,54,998,"[50, 531, 617]"
07.000.00587/2018,00242193820185240007,54,47,"[138, 176, 531]"
07.000.00630/2017,00243368120175240001,54,47,"[176, 572]"
07.000.00632/2017,00243244920175240007,54,998,"[63, 121, 444, 531]"
07.000.00667/2017,00242778420175240004,54,47,"[138, 175]"
07.000.00667/2018,00240768820185240091,54,47,"[138, 176, 531]"
07.000.00697/2018,00252182820175240006,209,67,"[24, 63, 524, 531]"
07.000.00698/2018,00240583120185240006,54,54,"[20, 527, 531, 706]"
07.000.00699/2018,00240913020185240003,54,75,"[20, 508, 531]"
07.000.00714/2017,00254030920165240004,54,47,"[138, 176]"
07.000.00735/2017,00257503620165240006,54,47,"[138, 176]"
07.000.00737/2017,00255632820165240006,9,998,"[63, 87]"
07.000.00739/2017,00244050420175240005,54,62,"[63, 507]"
07.000.00743/2018,08117621120168120001,47,998,"[20, 83, 531]"
07.000.00747/2018,00256764420175240071,9,998,"[531, 705]"
07.000.00748/2018,00257414620175240004,54,75,"[63, 508, 531]"
07.000.00766/2017,00258413520165240004,54,79,"[50, 63, 506, 511]"
07.000.00813/2017,00255971820165240001,54,75,"[63, 340, 506, 508]"
07.000.00814/2017,00244484420175240003,54,75,"[63, 86, 508, 531]"
07.000.00827/2018,00240878420185240005,54,46,"[20, 928, 929]"
07.000.00838/2017,00243613420175240021,54,73,"[6, 20, 37, 50]"
07.000.00850/2017,00242353220175240005,203,51,"[9, 50, 63, 436, 523, 621]"
07.000.00851/2017,00245011220175240072,54,47,"[65, 138, 175]"
07.000.00856/2017,00244029520175240022,54,47,"[138, 176]"
07.000.00862/2017,00243444020175240007,54,75,"[63, 340, 506, 508]"
07.000.00898/2018,00252251920175240071,54,75,"[63, 508, 531]"
07.000.00905/2017,00252584420165240006,54,50,"[63, 340, 506, 535, 586]"
07.000.00914/2017,00245801020175240001,54,75,"[63, 86, 340, 508]"
07.000.00916/2017,00245819220175240001,54,51,"[63, 527, 621, 706]"
07.000.00917/2017,00243359320175240002,54,75,"[63, 340, 508, 531]"
07.000.00920/2017,00246060820175240001,54,50,"[63, 506, 586]"
07.000.00921/2017,00245774320175240005,54,75,"[63, 508]"
07.000.00943/2017,00245619520175240003,54,75,"[6, 63, 508, 531]"
07.000.00957/2017,00259001720165240006,54,47,"[50, 138, 176]"
07.000.00968/2017,00249145520165240041,54,54,"[63, 527, 531]"
07.000.00968/2018,00241611520185240046,54,998,"[50, 531, 617]"
07.000.00971/2017,00246185620175240022,54,75,"[63, 508, 531]"
07.000.00976/2017,00243894620175240071,54,50,"[63, 527, 531, 586, 705]"
07.000.00976/2018,00243008720185240006,54,62,"[20, 507, 531]"
07.000.00977/2017,00243376320175240002,54,75,"[63, 508, 531]"
07.000.00978/2017,00245965520175240003,54,75,"[63, 508]"
07.000.00982/2017,00241624920175240041,54,75,"[63, 508, 524]"
07.000.00984/2017,00245662020175240003,54,75,"[63, 508, 531]"
07.000.00985/2017,00245861120175240003,54,54,"[63, 527, 531, 705]"
07.000.00990/2018,00240376120185240004,54,44,"[20, 531, 930]"
07.000.00995/2017,00246415320175240005,54,50,"[20, 527, 586]"
07.000.01007/2017,00244483220175240007,54,75,"[63, 508, 531]"
07.000.01008/2017,00244380320175240002,54,75,"[63, 508]"
07.000.01009/2017,00244492920175240003,54,54,"[63, 527, 709]"
07.000.01010/2017,00244398520175240002,54,54,"[63, 527, 531, 621, 709]"
07.000.01012/2017,00244284120175240007,54,54,"[63, 508, 527, 621]"
07.000.01043/2017,00244207920175240002,54,75,"[20, 508]"
07.000.01056/2017,00245086020175240021,54,998,"[531, 617, 716]"
07.000.01070/2017,00245730920175240101,54,75,"[63, 436, 508, 527]"
07.000.01086/2017,00244289320175240022,54,78,"[50, 153, 414, 531]"
07.000.01086/2018,00243259720185240007,54,47,"[138, 175, 531]"
07.000.01099/2017,00247211120175240007,54,75,"[63, 508, 531]"
07.000.01108/2018,00240470820185240004,54,62,"[20, 507, 531]"
07.000.01109/2018,00256167820175240004,54,58,"[6, 20]"
07.000.01110/2018,00258124820175240004,54,75,"[63, 508, 531]"
07.000.01132/2017,08429461920158120001,47,998,"[20, 37, 83, 531]"
07.000.01135/2017,00245921520175240101,54,61,"[20, 24]"
07.000.01136/2017,00245177920175240002,54,61,"[20, 24, 531]"
07.000.01137/2017,00244491720175240007,54,54,"[63, 527, 531, 709]"
07.000.01138/2017,00245782820175240005,54,54,"[63, 527, 531, 709]"
07.000.01146/2018,00241270220185240091,54,62,"[20, 507, 531]"
07.000.01165/2017,00244088220175240061,54,48,"[50, 176, 540]"
07.000.01166/2017,00244105220175240061,54,48,"[50, 176, 540]"
07.000.01177/2017,00245947320175240007,54,54,"[63, 527, 705]"
07.000.01193/2017,00247264220175240004,54,79,"[50, 63, 140, 142, 340, 531, 539]"
07.000.01206/2017,00241053920175240006,54,47,"[50, 138, 175, 531]"
07.000.01208/2017,00241070920175240006,54,47,"[138, 176, 531]"
07.000.01219/2017,00244458620175240004,54,998,"[63, 531, 621, 709]"
07.000.01229/2017,00244813420175240003,54,47,"[50, 138, 175, 176]"
07.000.01230/2017,00244607120175240031,54,75,"[63, 508, 531]"
07.000.01231/2017,00245922120175240002,54,75,"[63, 508, 531]"
07.000.01232/2017,00241608720175240006,54,46,"[63, 531, 929]"
07.000.01238/2017,00243577120175240061,54,75,"[63, 508, 531, 621]"
07.000.01247/2017,00245425720175240046,54,75,"[63, 508, 531, 621]"
07.000.01248/2017,00245417220175240046,54,75,"[63, 508, 531, 621]"
07.000.01249/2017,00245408720175240046,54,75,"[63, 508, 531, 621]"
07.000.01303/2017,00257226820165240006,9,75,"[63, 508, 524, 531]"
07.000.01337/2017,00244085320175240006,54,62,"[63, 507, 531]"
07.000.01355/2017,00246011520175240056,54,78,"[50, 52, 414, 444, 531]"
07.000.01360/2017,00260189020165240006,54,62,"[20, 507, 531]"
07.000.01363/2017,00248744420175240007,54,75,"[63, 508]"
07.000.01365/2017,00248891320175240007,54,75,"[20, 508, 531]"
07.000.01377/2018,00242212020185240003,54,47,"[138, 176]"
07.000.01378/2018,00243225720185240003,54,47,"[50, 138, 176, 531]"
07.000.01379/2018,00243700720185240006,54,47,"[50, 138, 175, 531]"
07.000.01380/2018,00243616020185240001,54,50,"[20, 437, 527]"
07.000.01401/2018,00243390220185240001,54,47,"[50, 138, 175, 176, 531]"
07.000.01414/2017,00246245820175240056,54,47,"[50, 65, 138, 191]"
07.000.01426/2017,00244164420175240066,54,998,"[58, 63, 87, 524]"
07.000.01446/2018,00241821420185240006,54,47,"[138, 176, 531]"
07.000.01459/2017,00248961420175240004,54,54,"[63, 340, 527, 531, 706]"
07.000.01460/2017,00247411120175240004,9,998,"[50, 58, 63, 87, 524]"
07.000.01463/2017,00243979020175240081,54,47,"[50, 138, 511]"
07.000.01464/2017,00249906820175240001,9,998,"[63, 87, 524]"
07.000.01488/2017,00243766220175240066,54,49,"[20, 340, 585, 621]"
07.000.01491/2017,00249897120175240005,54,998,"[20, 122, 531]"
07.000.01492/2017,00248997520175240001,54,75,"[63, 508, 531]"
07.000.01494/2017,00249456120175240002,54,47,"[50, 138, 176]"
07.000.01495/2017,00249031520175240001,54,998,"[50, 139, 531, 617]"
07.000.01515/2017,00246882320175240071,54,61,"[20, 24, 531]"
07.000.01530/2018,00243787820185240007,54,51,"[63, 436, 531, 747]"
07.000.01531/2018,00245321720185240001,54,998,"[50, 531, 617]"
07.000.01532/2018,00242930420185240004,54,46,"[63, 506, 531]"
07.000.01534/2018,00243408420185240001,54,47,"[50, 138, 175, 176, 531]"
07.000.01535/2018,00243425420185240001,54,47,"[50, 138, 175, 176, 531]"
07.000.01539/2017,00247735420175240056,54,51,"[414, 436, 508]"
07.000.01542/2017,00248260620175240001,54,61,"[20, 24, 531]"
07.000.01563/2018,00244810320185240002,54,75,"[63, 508, 531]"
07.000.01583/2018,00243675820185240004,54,47,"[50, 138, 175, 176, 531]"
07.000.01587/2017,00245836920175240031,54,49,"[63, 409, 585]"
07.000.01613/2018,00243667320185240004,54,47,"[50, 138, 175, 176, 531]"
07.000.01633/2018,00247295320185240071,54,998,"[50, 531, 617]"
07.000.01637/2018,00243927120185240004,54,51,"[20, 436, 508, 527]"
07.000.01638/2018,00243555020185240002,54,998,"[531, 617]"
07.000.01652/2017,00244661820175240051,54,75,"[63, 508, 531]"
07.000.01656/2017,00247943020175240056,54,64,"[63, 409]"
07.000.01657/2017,00248728620175240003,54,75,"[63, 508]"
07.000.01668/2017,00250594020175240021,54,75,"[20, 508]"
07.000.01669/2017,00250602520175240021,54,75,"[63, 508]"
07.000.01671/2018,00241753620185240066,54,47,"[50, 138, 176, 531]"
07.000.01680/2018,00245571520185240006,54,75,"[63, 508, 531, 706]"
07.000.01701/2018,00244615220185240021,54,79,"[50, 52, 63, 340]"
07.000.01704/2018,00242626720185240041,54,998,"[50, 531, 617]"
07.000.01721/2017,00241101320175240022,54,47,"[50, 138, 176, 531]"
07.000.01725/2017,00250377620175240022,54,75,"[63, 508]"
07.000.01726/2017,00250403120175240022,54,75,"[20, 508]"
07.000.01737/2017,00243800220175240066,54,75,"[63, 508, 531]"
07.000.01738/2017,00250892620175240005,54,46,"[63, 929]"
07.000.01758/2018,00245320520185240005,54,51,"[20, 436, 508, 531, 705]"
07.000.01759/2018,00245363620185240007,54,47,"[50, 138, 175, 531]"
07.000.01761/2018,00246524220185240007,47,61,"[24, 126, 531]"
07.000.01762/2017,00245540320175240004,54,54,"[340, 414, 527, 621]"
07.000.01762/2018,00245658620185240007,54,51,"[63, 436, 531]"
07.000.01768/2017,00249439120175240002,54,47,"[50, 138, 176, 531]"
07.000.01769/2017,00249447620175240002,54,47,"[50, 138, 176, 531]"
07.000.01785/2017,00251672920175240002,54,49,"[20, 121, 409, 513, 585]"
07.000.01806/2017,00245585620175240031,54,47,"[50, 138, 176]"
07.000.01814/2017,00064309220174036000,47,998,"[20, 444, 716]"
07.000.01818/2017,00250503520175240003,54,73,"[20, 50, 340, 523]"
07.000.01824/2017,00245179620175240061,54,48,"[176, 531, 540]"
07.000.01831/2017,00244440420175240004,54,75,"[63, 508, 531]"
07.000.01848/2018,00246023120185240002,54,75,"[63, 508, 531]"
07.000.01849/2018,00242692220185240021,54,50,"[20, 527, 531, 586]"
07.000.01850/2017,00249147320175240056,54,49,"[20, 121, 409, 531, 585, 705, 930]"
07.000.01906/2017,00252031420175240021,54,75,"[63, 508]"
07.000.01908/2017,00252005920175240021,54,62,"[20, 507]"
07.000.01909/2017,00248268520175240007,54,61,"[20, 24]"
07.000.01910/2017,00251057120175240007,54,75,"[63, 508]"
07.000.01912/2017,00251944920175240022,54,75,"[63, 508]"
07.000.01913/2017,00250814320175240007,54,49,"[20, 527, 535, 585]"
07.000.01914/2017,00250073620175240056,54,50,"[20, 409, 586]"
07.000.01915/2017,00252075120175240021,54,75,"[63, 508]"
07.000.01925/2017,00252650520175240005,54,50,"[63, 409, 586]"
07.000.01944/2017,00252547320175240005,54,50,"[20, 437, 527, 621]"
07.000.01957/2017,00251118720175240004,54,50,"[20, 527, 586, 621, 706]"
07.000.01960/2017,00251438520175240071,54,75,"[20, 508, 531]"
07.000.02022/2018,00241597520185240036,238,58,"[63, 506, 531, 929]"
07.000.02023/2018,00246278420185240021,54,51,"[63, 436, 531]"
07.000.02026/2017,00252642920175240002,54,54,"[20, 527, 706]"
07.000.02042/2017,00249256720175240003,9,75,"[63, 508]"
07.000.02044/2018,00247365220185240004,238,998,"[531, 617]"
07.000.02047/2017,00245609320175240041,54,998,"[50, 617]"
07.000.02054/2017,00252901220175240007,54,61,"[20, 507]"
07.000.02055/2017,00250416420175240006,54,75,"[63, 508]"
07.000.02120/2017,00251802820175240002,54,75,"[20, 436, 508, 527]"
07.000.02121/2017,00252617120175240003,54,73,"[50, 63, 340, 523, 531]"
07.000.02140/2017,00245852320175240004,54,47,"[50, 138, 176, 531]"
07.000.02189/2017,00251932120175240004,54,50,"[20, 409, 531, 586]"
07.000.02219/2017,00253517020175240006,9,58,"[63, 506, 716]"
07.000.02221/2017,00251343320175240101,54,47,"[65, 138, 176]"
07.000.02304/2017,00253473020175240007,9,54,"[63, 524, 527]"
07.000.02315/2017,00253391120175240021,54,47,"[138, 176]"
07.000.02316/2017,00253504020175240021,54,51,"[63, 508, 527]"
07.000.02317/2017,00253365620175240021,54,47,"[138, 176]"
07.000.02318/2017,00253409320175240021,54,47,"[138, 176]"
07.000.02390/2017,00251603420175240003,54,47,"[50, 138, 176]"
07.000.02471/2017,00253733720175240004,54,50,"[6, 20, 409, 586, 705, 927, 928]"
07.000.02472/2017,00253490620175240005,54,46,"[63, 498, 929]"
07.000.02628/2017,00252174320175240006,54,75,"[63, 508, 716]"
07.000.02629/2017,00254132520175240002,54,47,"[176, 572]"
07.000.02630/2017,00254010820175240003,54,51,"[63, 436]"
07.000.02631/2017,00253880920175240003,54,50,"[20, 527, 586]"
07.000.02632/2017,00252625020175240005,54,54,"[63, 527]"
07.000.02633/2017,00252581320175240005,54,54,"[63, 527]"
07.000.02634/2017,00254105520175240007,54,47,"[176, 572]"
07.000.02682/2017,00254260920175240007,54,50,"[20, 409, 531, 586, 929]"
07.000.02683/2017,00245631820175240051,54,75,"[63, 508, 531]"
07.000.02684/2017,00253802320175240006,54,47,"[176, 531, 572]"
07.000.02728/2017,00253097020175240022,54,47,"[50, 138, 176, 531]"
07.000.02741/2017,00251546920175240086,54,75,"[63, 508, 531]"
07.000.02896/2017,00253785320175240006,54,50,"[20, 409, 586]"
07.000.02897/2017,00252191320175240006,54,998,"[63, 82, 409, 535, 716]"
07.000.02915/2017,00253777420175240004,54,49,"[20, 409, 531, 585]"
07.000.02922/2017,00253088520175240022,54,47,"[138, 176, 531]"
07.000.03009/2017,00254928920175240006,54,75,"[63, 508, 531]"
07.000.03021/2017,00000000000000023359,241,47,[933]
07.000.03033/2017,00247115920175240041,54,51,"[63, 436, 508, 527, 531]"
07.000.03038/2017,00247132920175240041,54,51,"[63, 436, 508, 531]"
07.000.03039/2017,00251563220175240056,54,75,"[63, 508, 531]"
07.000.03040/2017,00254375620175240001,54,49,"[20, 409, 531, 585]"
07.000.03041/2017,00255266420175240006,54,47,"[176, 531, 572]"
07.000.03044/2017,00255967820175240007,54,50,"[20, 409, 531, 586, 928, 930]"
07.000.03045/2017,00255682520175240003,54,46,"[20, 531, 928, 929]"
07.000.03046/2017,00252165820175240006,53,75,"[63, 508, 531]"
07.000.03047/2017,00255811220175240007,54,50,"[20, 508, 531, 586, 928]"
07.000.03048/2017,00255742020175240007,54,49,"[20, 409, 531, 585]"
07.000.03052/2017,00245860820175240004,54,75,"[63, 508, 531]"
07.000.03122/2017,00255657020175240003,54,62,"[20, 507]"
07.000.03125/2017,00000000000000782017,241,47,[933]
07.000.03138/2017,00000000000000822017,241,47,[933]
07.000.03139/2017,00000000000210139561,241,47,[933]
07.000.03148/2017,00252013620175240056,54,75,"[20, 508, 527, 705]"
07.000.03149/2017,00252634720175240001,54,47,"[138, 175]"
07.000.03179/2017,00255725920175240004,54,75,"[63, 508, 527]"
07.000.03180/2017,00255006620175240006,54,47,"[138, 176]"
07.000.03181/2017,00255881320175240004,54,50,"[63, 409, 586]"
07.000.03194/2017,00255158720175240021,54,75,"[414, 508, 527]"
07.000.03196/2017,00255803020175240006,54,75,"[414, 508, 527, 706]"
07.000.03213/2017,00253985920175240001,54,47,"[138, 176]"
07.000.03214/2017,00255665520175240003,54,50,"[63, 586, 621]"
07.000.03226/2017,00256176320175240004,54,64,"[20, 409]"
07.000.03227/2017,00255674020175240003,54,46,"[20, 929]"
07.000.03229/2017,00254946520175240004,54,64,"[20, 50, 142, 409]"
07.000.03230/2017,00254254220175240001,54,75,"[63, 508, 527, 621]"
07.000.03231/2017,00248279520175240031,54,75,"[20, 50, 340, 508, 511, 527, 706]"
07.000.03263/2017,00255994520175240003,54,73,"[50, 63, 340, 523]"
07.000.03287/2017,00256999720175240003,54,44,"[6, 20, 409, 930]"
07.000.03300/2017,00254924120175240022,54,75,"[20, 508]"
07.000.03307/2017,00256963620175240006,54,998,"[50, 617]"
07.000.03313/2017,00255158420175240022,54,75,"[63, 508]"
07.000.03324/2017,00256189420175240021,54,75,"[20, 508]"
07.000.03331/2017,00253968920175240001,54,50,"[20, 409, 586]"
07.000.03343/2017,00247531120175240041,54,58,"[63, 506]"
07.000.03344/2017,00257459220175240001,54,64,"[63, 409, 531]"
07.000.03367/2017,00256531120175240003,54,47,"[50, 138, 176, 531]"
07.000.03368/2017,00256566320175240003,54,47,"[50, 138, 176, 531]"
07.000.03441/2017,00252859020175240006,54,54,"[20, 50, 508, 511, 527, 621]"
07.000.03445/2017,00256938420175240005,53,998,"[6, 7, 8, 9, 10, 57, 63, 65, 142, 409, 503, 506, 507, 508, 527, 585, 586, 716, 929]"
07.000.03448/2017,00257916320175240007,54,50,"[6, 20, 506, 507, 531, 586, 621]"
07.000.03508/2017,00254419320175240001,54,47,"[176, 572]"
07.000.03523/2017,00256549320175240003,54,47,"[50, 138, 176, 531]"
07.000.03526/2017,00256711920175240072,54,50,"[10, 50, 63, 511, 531, 586, 706, 727, 929]"
07.000.03527/2017,00256020620175240001,54,61,"[20, 24, 507, 531]"
07.000.03584/2017,00257787620175240003,54,47,"[50, 138, 176, 531]"
07.000.03585/2017,00257796120175240003,54,47,"[50, 138, 176, 531]"
07.000.03586/2017,00257458620175240003,54,47,"[50, 138, 176, 531]"
07.000.03587/2017,00257813120175240003,54,47,"[50, 138, 176, 531]"
07.000.03589/2017,00256470720175240002,54,75,"[20, 508, 527, 705]"
07.000.03590/2017,00256590820175240071,54,75,"[63, 508, 531]"
07.000.03591/2017,00256012120175240001,54,75,"[63, 508, 531]"
21.000.00001/2018,10014528220175020444,203,50,"[63, 506, 531, 586, 621, 706]"
21.000.00009/2018,10022826220175020601,54,46,"[63, 340, 436, 506, 507, 508, 531, 621, 706, 709, 929]"
21.000.00010/2018,10018967320175020070,54,75,"[63, 65, 340, 508, 531]"
21.000.00015/2018,10018996920175020703,54,51,"[63, 340, 436, 508, 531, 706, 709]"
21.000.00016/2018,10015439020175020051,54,54,"[63, 340, 531, 705]"
21.000.00019/2018,10026430920175020204,54,51,"[63, 340, 436, 531, 705]"
21.000.00020/2018,10026422420175020204,54,75,"[63, 508, 531]"
21.000.00021/2018,10024416920175020612,54,75,"[63, 65, 340, 508, 531]"
21.000.00022/2018,10019938720175020033,54,75,"[20, 340, 508, 531]"
21.000.00026/2018,10020512020175020606,54,47,"[50, 138, 176, 531]"
21.000.00028/2018,10019396920175020018,54,54,"[20, 340, 531, 705]"
21.000.00029/2018,10019361720175020018,54,46,"[20, 409, 531, 928, 929]"
21.000.00030/2018,10021000920175020009,54,47,"[138, 176, 531]"
21.000.00031/2018,10020389420175020323,54,47,"[50, 138, 176, 531]"
21.000.00032/2018,10020225020175020062,54,47,"[50, 138, 176, 531]"
21.000.00033/2018,10020323220175020018,54,47,"[50, 138, 176, 531]"
21.000.00034/2018,10020097320175020087,54,47,"[138, 176, 531]"
21.000.00036/2018,10020234220175020383,54,47,"[138, 176, 531]"
21.000.00041/2018,10022903520175020473,54,47,"[50, 138, 176, 531]"
21.000.00046/2018,10022964220175020473,54,47,"[50, 138, 176, 531]"
21.000.00049/2018,10019951220175020048,54,47,"[50, 138, 176, 531]"
21.000.00051/2018,10020511920175020089,54,47,"[50, 138, 176, 531]"
21.000.00057/2018,10019061120175020073,54,47,"[50, 138, 176, 531]"
21.000.00063/2018,00000806820175020201,201,48,"[176, 540]"
21.000.00064/2018,10020813420175020031,54,47,"[138, 176, 531]"
21.000.00065/2018,10008262720175020262,54,47,"[138, 176, 531]"
21.000.00068/2018,10012614620175020053,54,47,"[50, 138, 176, 531]"
21.000.00069/2018,10016117520175020492,54,47,"[138, 176, 531]"
21.000.00072/2018,10024896120175020601,54,47,"[50, 138, 176, 531]"
21.000.00077/2018,10021422620175020052,54,47,"[138, 176, 531]"
21.000.00078/2018,10016090820175020492,54,47,"[138, 176, 531]"
21.000.00079/2017,10016028320165020481,54,47,"[138, 176, 531]"
21.000.00081/2018,10021414120175020052,54,47,"[138, 176, 531]"
21.000.00084/2018,10008721320165020242,54,47,"[50, 138, 176, 531]"
21.000.00091/2018,10020047920175020013,54,47,"[138, 176, 531]"
21.000.00094/2018,10020902020175020702,54,47,"[65, 138, 176, 531]"
21.000.00096/2018,10011298520175020021,54,47,"[138, 176, 531]"
21.000.00097/2018,10014991320175020717,54,47,"[50, 138, 176, 531]"
21.000.00145/2017,10012478120165020252,203,46,"[35, 63, 507, 586, 621, 929]"
21.000.00148/2018,10019845520175020703,54,51,"[20, 436, 531, 621, 705, 709]"
21.000.00152/2018,10021107820175020033,54,51,"[20, 417, 436, 531, 621]"
21.000.00154/2018,10020776920175020007,54,47,"[138, 176, 531]"
21.000.00155/2018,10020976020175020007,54,75,"[63, 340, 508, 531]"
21.000.00157/2018,10022212920175020432,54,51,"[63, 340, 417, 436, 506, 705, 706, 929]"
21.000.00158/2018,10013925720175020332,54,51,"[63, 340, 436, 498, 531, 705, 706]"
21.000.00160/2018,10022043320175020063,54,51,"[20, 436, 508, 706, 709]"
21.000.00161/2018,10019447720175020055,54,46,"[20, 57, 340, 436, 507, 508, 531, 621, 705, 706, 928, 929]"
21.000.00162/2018,10019039520175020060,54,46,"[8, 63, 340, 531, 716, 928, 929]"
21.000.00168/2018,10019768120175020702,54,51,"[20, 417, 436, 531, 706]"
21.000.00170/2018,10018881020175020713,54,51,"[63, 340, 436, 507, 508, 531, 621, 705, 706, 709]"
21.000.00172/2018,10015398820175020492,54,75,"[20, 340, 417, 508, 531, 709, 716]"
21.000.00205/2018,10019274020175020702,54,75,"[63, 508, 531]"
21.000.00207/2018,10022981620175020601,54,46,"[57, 63, 340, 436, 506, 507, 531, 536, 621, 706, 929]"
21.000.00209/2018,10019942020175020018,54,75,"[63, 340, 508, 531]"
21.000.00210/2018,10019703320175020069,54,46,"[63, 340, 436, 506, 508, 531, 621, 705, 706, 709, 929]"
21.000.00211/2018,10020497520175020048,54,51,"[63, 531, 705]"
21.000.00212/2018,10014832520175020502,54,75,"[63, 65, 340, 508, 531]"
21.000.00214/2018,10018238820175020042,54,75,"[63, 340, 508, 531]"
21.000.00215/2018,10020578320175020070,54,998,"[8, 63, 89, 531]"
21.000.00216/2018,10017738020175020715,54,46,"[63, 142, 340, 409, 436, 506, 507, 508, 531, 621, 705, 706, 709, 929]"
21.000.00217/2018,10020419820175020048,54,75,"[63, 340, 508, 531]"
21.000.00218/2018,10018351720175020717,54,46,"[63, 340, 436, 506, 507, 508, 531, 621, 929]"
21.000.00219/2018,10020379220175020070,54,51,"[50, 63, 340, 436, 507, 508, 531, 705, 706]"
21.000.00220/2018,10019393920175020028,54,998,"[8, 414, 531]"
21.000.00227/2018,10020593120175020433,54,46,"[20, 409, 436, 928, 929]"
21.000.00235/2018,10026461320175020511,54,75,"[63, 65, 340, 508, 531]"
21.000.00236/2018,10021280820175020613,54,46,"[63, 340, 436, 506, 507, 531, 705, 706, 709, 929]"
21.000.00238/2018,10019318520175020085,54,46,"[63, 340, 436, 506, 507, 508, 531, 706, 709, 929]"
